epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,984.348,1.44264,2.14258,1.31258,0.73375,0.66022,0.73971,0.44202,1.2721,1.54702,1.29734,0.00036934,0.00036934,0.00036934
2,2288.68,1.27773,1.25272,1.22145,0.76398,0.67889,0.75146,0.4493,1.26433,1.21862,1.32674,0.000732351,0.000732351,0.000732351
3,3554.14,1.24415,1.06989,1.20506,0.72889,0.65811,0.71521,0.40744,1.33823,1.15493,1.36362,0.00108803,0.00108803,0.00108803
4,4838.04,1.20987,0.98586,1.19893,0.76281,0.71773,0.77925,0.48219,1.21768,1.05176,1.31555,0.001078,0.001078,0.001078
5,6137.59,1.17299,0.91743,1.17809,0.79287,0.74957,0.7985,0.48577,1.22196,0.88744,1.34595,0.001067,0.001067,0.001067
6,7431.51,1.14401,0.86769,1.16342,0.76489,0.72661,0.77644,0.4826,1.20035,0.93674,1.32721,0.00105601,0.00105601,0.00105601
7,8697.57,1.12641,0.84598,1.15594,0.81946,0.75559,0.82599,0.51543,1.18621,0.88262,1.31022,0.00104501,0.00104501,0.00104501
8,10054.2,1.10806,0.81723,1.14731,0.79783,0.75696,0.8284,0.53825,1.14106,0.83793,1.2923,0.00103401,0.00103401,0.00103401
9,11305.6,1.1012,0.81754,1.14579,0.78871,0.72375,0.80601,0.52282,1.13273,0.82577,1.27766,0.00102301,0.00102301,0.00102301
10,12595.6,1.08991,0.78404,1.14159,0.8427,0.77504,0.85665,0.55692,1.12662,0.7828,1.28098,0.00101201,0.00101201,0.00101201
11,13875.1,1.06283,0.75133,1.12491,0.81579,0.79947,0.86225,0.56113,1.11128,0.75068,1.26913,0.00100101,0.00100101,0.00100101
12,15156.4,1.05323,0.74606,1.12676,0.83183,0.77381,0.85571,0.54681,1.15046,0.77817,1.29059,0.000990012,0.000990012,0.000990012
13,16379.8,1.0492,0.73977,1.12515,0.81816,0.79259,0.85388,0.57032,1.07894,0.71062,1.27461,0.000979013,0.000979013,0.000979013
14,17653.3,1.0371,0.72842,1.11696,0.82186,0.79605,0.85262,0.56145,1.08684,0.72309,1.28248,0.000968014,0.000968014,0.000968014
15,18923.1,1.02852,0.71339,1.11362,0.81295,0.78297,0.85999,0.57029,1.08781,0.73058,1.26009,0.000957015,0.000957015,0.000957015
16,20214.5,1.02039,0.70167,1.10659,0.83091,0.79339,0.86559,0.58537,1.05512,0.68991,1.26308,0.000946016,0.000946016,0.000946016
17,21486.7,1.00946,0.70276,1.10944,0.86146,0.80536,0.87061,0.59576,1.06975,0.67979,1.26077,0.000935018,0.000935018,0.000935018
18,22744.9,1.00933,0.6815,1.10237,0.87177,0.799,0.87635,0.59674,1.05337,0.6759,1.24951,0.000924019,0.000924019,0.000924019
19,24033.9,0.99749,0.67862,1.09933,0.83515,0.80998,0.86507,0.58447,1.0467,0.67964,1.24587,0.00091302,0.00091302,0.00091302
20,25352.3,0.99228,0.67584,1.09979,0.84765,0.80519,0.87349,0.60292,1.01752,0.66848,1.23774,0.000902021,0.000902021,0.000902021
21,26538.1,0.98559,0.66775,1.09818,0.83929,0.83693,0.88715,0.61557,1.02906,0.64119,1.21771,0.000891022,0.000891022,0.000891022
22,27766,0.97765,0.65311,1.08614,0.86577,0.81033,0.88356,0.60186,1.05257,0.64648,1.24695,0.000880023,0.000880023,0.000880023
23,29047.3,0.97764,0.65524,1.09017,0.82726,0.78156,0.86077,0.58349,1.04603,0.67334,1.24382,0.000869024,0.000869024,0.000869024
24,30347.7,0.96721,0.65032,1.08242,0.85374,0.79692,0.86891,0.59568,1.0305,0.65013,1.22996,0.000858025,0.000858025,0.000858025
25,31584.6,0.96793,0.6431,1.08388,0.85316,0.84188,0.8884,0.61165,1.01106,0.61867,1.2235,0.000847026,0.000847026,0.000847026
26,32878.9,0.95757,0.63454,1.08037,0.84585,0.8382,0.89102,0.617,1.00889,0.61491,1.21252,0.000836027,0.000836027,0.000836027
27,34166.5,0.95349,0.63147,1.07516,0.86172,0.82298,0.88752,0.61163,1.01686,0.60995,1.21957,0.000825029,0.000825029,0.000825029
