epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.998,1.46646,2.12405,1.25579,0.68179,0.65648,0.72298,0.39981,1.38963,1.59439,1.29487,0.00036934,0.00036934,0.00036934
2,524.096,1.28435,1.22573,1.15347,0.76381,0.7045,0.76022,0.45206,1.32802,1.11146,1.26559,0.000732351,0.000732351,0.000732351
3,764.088,1.25176,1.0515,1.13822,0.7152,0.63345,0.70091,0.42928,1.29571,1.15861,1.26245,0.00108803,0.00108803,0.00108803
4,995.601,1.21184,0.9617,1.12744,0.76772,0.69311,0.75877,0.45325,1.29573,0.99413,1.24416,0.001078,0.001078,0.001078
5,1229.63,1.17901,0.90752,1.11354,0.81811,0.73354,0.80576,0.50339,1.19876,0.91947,1.21355,0.001067,0.001067,0.001067
6,1491.05,1.14954,0.85629,1.09772,0.81424,0.74743,0.82751,0.51284,1.18804,0.8806,1.19757,0.00105601,0.00105601,0.00105601
7,1731.59,1.12512,0.83424,1.08745,0.79824,0.75102,0.81921,0.53074,1.16175,0.86084,1.19217,0.00104501,0.00104501,0.00104501
8,1998.17,1.09956,0.79981,1.0735,0.80009,0.77029,0.82384,0.52349,1.13805,0.82612,1.17482,0.00103401,0.00103401,0.00103401
9,295.658,1.09678,0.80572,1.07424,0.81047,0.74796,0.81364,0.51685,1.17032,0.82268,1.18576,0.00102301,0.00102301,0.00102301
10,525.226,1.077,0.77291,1.06724,0.81235,0.78235,0.84929,0.55515,1.10833,0.74521,1.15068,0.00101201,0.00101201,0.00101201
11,737.312,1.05671,0.74828,1.05482,0.85242,0.77905,0.87309,0.5804,1.0621,0.70764,1.13363,0.00100101,0.00100101,0.00100101
12,909.063,1.03768,0.73117,1.05053,0.85402,0.7887,0.86941,0.56709,1.10203,0.73277,1.14454,0.000990012,0.000990012,0.000990012
13,1093.97,1.03426,0.72241,1.04583,0.82077,0.79112,0.85603,0.55632,1.09737,0.72425,1.14522,0.000979013,0.000979013,0.000979013
14,1277.48,1.0195,0.70272,1.03845,0.83665,0.79943,0.86288,0.56293,1.09208,0.73424,1.14466,0.000968014,0.000968014,0.000968014
15,1462.05,1.0091,0.69802,1.03503,0.86217,0.79808,0.87385,0.58332,1.05783,0.68252,1.12716,0.000957015,0.000957015,0.000957015
16,1645.42,1.00345,0.68247,1.03086,0.84918,0.82737,0.87609,0.59139,1.05583,0.67351,1.126,0.000946016,0.000946016,0.000946016
17,1829.69,1.01009,0.70095,1.03718,0.82981,0.82241,0.8823,0.59878,1.04713,0.6762,1.1223,0.000935018,0.000935018,0.000935018
18,2012.25,1.00702,0.69256,1.04066,0.86605,0.80793,0.8792,0.58482,1.06116,0.68009,1.12107,0.000924019,0.000924019,0.000924019
19,2197,0.98962,0.66953,1.02491,0.86278,0.82957,0.88996,0.58799,1.05952,0.65831,1.11287,0.00091302,0.00091302,0.00091302
20,2380.08,0.99241,0.67206,1.02585,0.8487,0.82395,0.87509,0.57999,1.0703,0.66243,1.12395,0.000902021,0.000902021,0.000902021
21,2564.77,0.97971,0.66218,1.02313,0.84641,0.83837,0.8854,0.60672,1.02084,0.63312,1.10512,0.000891022,0.000891022,0.000891022
22,2747.7,0.97594,0.6603,1.01852,0.86106,0.81905,0.88519,0.59963,1.04442,0.65015,1.10588,0.000880023,0.000880023,0.000880023
23,2932.01,0.97229,0.64708,1.01856,0.85506,0.79679,0.87993,0.61223,1.01658,0.66114,1.09767,0.000869024,0.000869024,0.000869024
24,3113.45,0.96177,0.6394,1.01055,0.88315,0.81989,0.89765,0.61467,1.01368,0.61086,1.09385,0.000858025,0.000858025,0.000858025
25,3296.19,0.95607,0.63983,1.01197,0.87721,0.84237,0.89751,0.62141,1.00445,0.611,1.10385,0.000847026,0.000847026,0.000847026
26,3476.88,0.95874,0.62661,1.01059,0.86385,0.82898,0.89591,0.60505,1.03075,0.62413,1.10352,0.000836027,0.000836027,0.000836027
27,3659.85,0.9458,0.6284,1.00403,0.87897,0.82632,0.89289,0.61281,1.00431,0.6217,1.09228,0.000825029,0.000825029,0.000825029
28,3842.79,0.94337,0.62586,1.00615,0.87386,0.83631,0.89375,0.62782,0.99661,0.61548,1.09227,0.00081403,0.00081403,0.00081403
29,4025.53,0.93497,0.61301,1.0055,0.88464,0.83134,0.89995,0.62951,0.99465,0.60639,1.09222,0.000803031,0.000803031,0.000803031
30,4206.53,0.9319,0.60904,0.99874,0.88562,0.83658,0.89905,0.62421,0.9872,0.59511,1.08803,0.000792032,0.000792032,0.000792032
31,4389.3,0.92595,0.60564,0.99817,0.88082,0.81592,0.89094,0.6172,0.98312,0.6118,1.08491,0.000781033,0.000781033,0.000781033
32,4572.03,0.92311,0.59785,0.99383,0.87252,0.8333,0.89601,0.61748,0.98354,0.60889,1.07951,0.000770034,0.000770034,0.000770034
33,4756.25,0.92451,0.60491,0.99751,0.87319,0.85992,0.90968,0.63528,0.96549,0.57966,1.07386,0.000759035,0.000759035,0.000759035
34,4938.73,0.91615,0.59586,0.99368,0.8767,0.85303,0.9054,0.64068,0.96413,0.58475,1.07176,0.000748036,0.000748036,0.000748036
35,5122.84,0.90811,0.5816,0.98963,0.87808,0.85015,0.9071,0.63752,0.97007,0.56872,1.0759,0.000737037,0.000737037,0.000737037
36,5344.56,0.90945,0.58692,0.98995,0.87573,0.85923,0.90994,0.64165,0.95754,0.56986,1.06855,0.000726038,0.000726038,0.000726038
37,5568.59,0.90094,0.57913,0.98932,0.88854,0.84229,0.90523,0.63755,0.97006,0.57242,1.07703,0.00071504,0.00071504,0.00071504
38,5790,0.90047,0.58136,0.98903,0.87396,0.85711,0.90513,0.64134,0.95834,0.57416,1.07005,0.000704041,0.000704041,0.000704041
39,6013.49,0.89292,0.57035,0.98255,0.88224,0.83946,0.90403,0.6367,0.96204,0.57182,1.07443,0.000693042,0.000693042,0.000693042
40,6235.51,0.89301,0.56215,0.98329,0.8751,0.86319,0.90327,0.63108,0.961,0.56999,1.07495,0.000682043,0.000682043,0.000682043
41,6420.17,0.89165,0.56583,0.9801,0.87391,0.84946,0.90942,0.64292,0.95636,0.56859,1.07214,0.000671044,0.000671044,0.000671044
42,6602.96,0.886,0.5576,0.98218,0.86858,0.84973,0.90677,0.64813,0.94806,0.56262,1.06633,0.000660045,0.000660045,0.000660045
43,6825.28,0.88046,0.55741,0.97655,0.89301,0.83944,0.90789,0.64233,0.95621,0.55936,1.07111,0.000649046,0.000649046,0.000649046
44,7006.29,0.88458,0.5609,0.98058,0.864,0.86347,0.91156,0.64683,0.94762,0.55168,1.06696,0.000638047,0.000638047,0.000638047
45,7188.47,0.8824,0.55539,0.98175,0.88159,0.84784,0.90929,0.64936,0.94394,0.56063,1.06537,0.000627048,0.000627048,0.000627048
46,7409.3,0.87127,0.55367,0.97363,0.88648,0.85558,0.91004,0.64146,0.95459,0.55001,1.06624,0.000616049,0.000616049,0.000616049
47,7630.86,0.87195,0.54896,0.97299,0.88426,0.85472,0.91332,0.64986,0.94474,0.54416,1.06501,0.000605051,0.000605051,0.000605051
48,7851.15,0.87081,0.54463,0.97462,0.9044,0.86077,0.91492,0.65711,0.94258,0.5394,1.06198,0.000594052,0.000594052,0.000594052
49,8072.48,0.86365,0.54256,0.97162,0.8978,0.8577,0.91555,0.65393,0.93916,0.53542,1.06044,0.000583053,0.000583053,0.000583053
50,8292.45,0.85947,0.52681,0.96553,0.89288,0.84444,0.91239,0.64633,0.94089,0.55028,1.06004,0.000572054,0.000572054,0.000572054
51,8515.58,0.85378,0.53314,0.96518,0.88042,0.85897,0.91123,0.65206,0.93333,0.53599,1.06254,0.000561055,0.000561055,0.000561055
52,8736.69,0.85606,0.5301,0.97017,0.89408,0.84378,0.91217,0.65658,0.93525,0.54322,1.05755,0.000550056,0.000550056,0.000550056
53,8959.92,0.85197,0.52381,0.96636,0.90101,0.85233,0.91598,0.65594,0.93566,0.53195,1.05741,0.000539057,0.000539057,0.000539057
54,9142.63,0.84804,0.52105,0.96228,0.88166,0.87322,0.91576,0.65806,0.92675,0.52828,1.0555,0.000528058,0.000528058,0.000528058
55,9326.65,0.84251,0.51629,0.96103,0.88238,0.86619,0.91327,0.65304,0.93871,0.53017,1.0632,0.000517059,0.000517059,0.000517059
56,9519.46,0.84197,0.51869,0.96315,0.88362,0.85774,0.91359,0.65796,0.92378,0.53133,1.05547,0.00050606,0.00050606,0.00050606
57,9710.37,0.83837,0.51309,0.95715,0.88304,0.85482,0.91349,0.65896,0.91772,0.52432,1.05073,0.000495062,0.000495062,0.000495062
58,9902.64,0.83795,0.51198,0.95862,0.87895,0.8639,0.91383,0.65828,0.92018,0.53452,1.04946,0.000484063,0.000484063,0.000484063
59,10086,0.83056,0.50909,0.9589,0.87592,0.862,0.9111,0.65656,0.92188,0.53125,1.05298,0.000473064,0.000473064,0.000473064
60,10268.8,0.82971,0.50566,0.95861,0.89046,0.85504,0.91125,0.65694,0.92852,0.5308,1.05579,0.000462065,0.000462065,0.000462065
61,10452.1,0.82843,0.50651,0.95305,0.88002,0.86006,0.91455,0.6634,0.91359,0.52563,1.04817,0.000451066,0.000451066,0.000451066
62,10643,0.82679,0.50468,0.95584,0.89849,0.84947,0.91758,0.66094,0.9247,0.52068,1.04997,0.000440067,0.000440067,0.000440067
63,10831.7,0.82579,0.49914,0.95258,0.89694,0.85531,0.91559,0.65974,0.92227,0.52499,1.05064,0.000429068,0.000429068,0.000429068
64,11022.4,0.8149,0.49703,0.9513,0.88577,0.86166,0.91593,0.66177,0.92453,0.5221,1.05301,0.000418069,0.000418069,0.000418069
65,11211.1,0.8116,0.49544,0.95059,0.89761,0.85859,0.919,0.6641,0.91928,0.51394,1.04749,0.00040707,0.00040707,0.00040707
66,11401.5,0.818,0.49657,0.9522,0.89078,0.86271,0.91642,0.65889,0.92167,0.52031,1.0511,0.000396071,0.000396071,0.000396071
67,11582.8,0.80732,0.48801,0.94695,0.88907,0.86417,0.91355,0.65792,0.92448,0.5235,1.05322,0.000385073,0.000385073,0.000385073
68,11772.1,0.8062,0.48291,0.94711,0.89118,0.8665,0.91436,0.65766,0.92438,0.52102,1.05377,0.000374074,0.000374074,0.000374074
69,11953.8,0.80743,0.48456,0.94535,0.89607,0.86823,0.91629,0.66355,0.91758,0.51187,1.05164,0.000363075,0.000363075,0.000363075
70,12146.1,0.79924,0.4809,0.94572,0.89779,0.85917,0.92054,0.66556,0.9206,0.51623,1.05063,0.000352076,0.000352076,0.000352076
71,12336.5,0.79769,0.47724,0.94369,0.88794,0.86647,0.91636,0.66412,0.91806,0.51518,1.05147,0.000341077,0.000341077,0.000341077
72,12521.3,0.79642,0.4773,0.94441,0.88518,0.87573,0.91713,0.66581,0.91378,0.51301,1.04675,0.000330078,0.000330078,0.000330078
73,12712,0.79441,0.47214,0.94001,0.8876,0.86878,0.918,0.66254,0.91354,0.51341,1.0459,0.000319079,0.000319079,0.000319079
74,12904.4,0.78332,0.46666,0.93946,0.88806,0.86976,0.91667,0.66328,0.91414,0.51361,1.04898,0.00030808,0.00030808,0.00030808
75,13095.2,0.78859,0.46905,0.94206,0.87414,0.87836,0.9171,0.66174,0.91366,0.51409,1.04734,0.000297081,0.000297081,0.000297081
76,13287.5,0.78455,0.4671,0.93842,0.88563,0.87235,0.91793,0.66418,0.91384,0.51432,1.05024,0.000286083,0.000286083,0.000286083
77,13478.6,0.77966,0.46481,0.93779,0.89313,0.86425,0.91577,0.66416,0.91132,0.51345,1.04972,0.000275084,0.000275084,0.000275084
78,13670.9,0.7768,0.46118,0.93265,0.88638,0.86751,0.91827,0.66452,0.91232,0.51219,1.05121,0.000264085,0.000264085,0.000264085
79,13862.1,0.7755,0.46184,0.93515,0.88791,0.86709,0.91733,0.6663,0.91156,0.51303,1.04964,0.000253086,0.000253086,0.000253086
80,14054.9,0.77598,0.45433,0.93658,0.90354,0.8597,0.91933,0.67067,0.91076,0.5095,1.04841,0.000242087,0.000242087,0.000242087
81,14243.7,0.76927,0.45148,0.93094,0.89729,0.87148,0.92121,0.66914,0.91434,0.50648,1.05041,0.000231088,0.000231088,0.000231088
82,14434.8,0.76782,0.44533,0.93151,0.88825,0.86877,0.9196,0.66881,0.91209,0.50737,1.05081,0.000220089,0.000220089,0.000220089
83,14623.6,0.76856,0.45109,0.93488,0.89438,0.86328,0.91886,0.66854,0.90954,0.50754,1.04905,0.00020909,0.00020909,0.00020909
84,14813.3,0.76038,0.45075,0.93157,0.88545,0.87191,0.91774,0.66893,0.9067,0.50365,1.04844,0.000198091,0.000198091,0.000198091
85,15002.5,0.75953,0.4397,0.92558,0.89087,0.87042,0.91976,0.67003,0.90951,0.50158,1.05085,0.000187092,0.000187092,0.000187092
86,15193,0.75403,0.44383,0.93026,0.89135,0.87059,0.918,0.66879,0.90776,0.50319,1.04973,0.000176094,0.000176094,0.000176094
87,15382.6,0.75047,0.43864,0.92722,0.89405,0.8751,0.91895,0.66996,0.90919,0.50156,1.04912,0.000165095,0.000165095,0.000165095
88,15573.1,0.75245,0.43778,0.93042,0.89582,0.8713,0.91962,0.67068,0.91162,0.50565,1.05023,0.000154096,0.000154096,0.000154096
89,15764.2,0.74537,0.43436,0.92416,0.89521,0.86664,0.91925,0.67033,0.91243,0.50418,1.052,0.000143097,0.000143097,0.000143097
90,15957.2,0.75176,0.44157,0.92827,0.88219,0.87928,0.91915,0.67016,0.91111,0.50184,1.05114,0.000132098,0.000132098,0.000132098
91,16170,0.71255,0.37884,0.91371,0.89228,0.87155,0.91719,0.66787,0.91052,0.50509,1.05002,0.000121099,0.000121099,0.000121099
92,16359.7,0.69837,0.36631,0.91331,0.88705,0.87103,0.91606,0.66801,0.90944,0.50925,1.04876,0.0001101,0.0001101,0.0001101
93,16549.2,0.69887,0.36696,0.91231,0.88957,0.87327,0.9184,0.66849,0.90822,0.50942,1.04679,9.91012e-05,9.91012e-05,9.91012e-05
94,16740.7,0.68747,0.36093,0.9087,0.88869,0.87541,0.91734,0.66952,0.90688,0.51075,1.04713,8.81023e-05,8.81023e-05,8.81023e-05
95,16930.6,0.6912,0.36023,0.91028,0.88913,0.8719,0.91748,0.6692,0.90924,0.51201,1.04917,7.71034e-05,7.71034e-05,7.71034e-05
96,17121.8,0.68077,0.35487,0.9041,0.87951,0.88149,0.91828,0.66921,0.91049,0.51145,1.04936,6.61045e-05,6.61045e-05,6.61045e-05
97,17311.6,0.67753,0.3528,0.90243,0.87491,0.88347,0.91751,0.66853,0.90989,0.51223,1.05056,5.51056e-05,5.51056e-05,5.51056e-05
98,17502,0.67927,0.35445,0.90352,0.88139,0.87119,0.91624,0.66867,0.90816,0.51159,1.05017,4.41067e-05,4.41067e-05,4.41067e-05
99,17691.3,0.6749,0.35058,0.90031,0.87544,0.87935,0.91676,0.66863,0.90864,0.51078,1.05091,3.31078e-05,3.31078e-05,3.31078e-05
100,17880.8,0.67321,0.34927,0.90023,0.87681,0.87505,0.91621,0.66944,0.90798,0.51135,1.05107,2.21089e-05,2.21089e-05,2.21089e-05
